set-up,punchline,label
Why don't bisexual people have any friends?,Because they are all bi themselves,1
The barista said she liked my Dia de los Muertos skeleton costume.,I'm not wearing a costume.,1
How is a Muslim at Ramadan like Sonic the Hedgehog?,They both gotta go fast.,1
Alligators can live up to 100 years.,Which is why there's an increased chance that they will see you later.,1
Why does the military only allow dress shirts at its ceremonies?,Because civilian casual tees are unacceptable,1
What do you call a fat psychic?,A four chin teller,1
Puns leave me numb.,Mathematical puns leave me number.,1
I met a girl last night at a bar... She said she wanted the night to be magical...,So i fucked her and disappeared.,1
Just found out Empire Strikes Back was released 40 years ago today.,And...I’m officially ancient.,1
I remember this one time I accidentally called my teacher 'mommy'.,It was really embarrassing because I was an adult taking a cooking class.,1
Congrats Hugo Fernandez re: Great Lakes/Navy error.,I bow to your expertise & Batmans self made cardboard utility belt,1
My girlfriend calls it selective hearing.,I prefer to call it drama filtering.,1
What do you call a Mexican dessert that won't sink?,Flanboyant,1
There's only 1 rule in learning English.,Their our know rules.,1
What do politicians and porn stars have most in common?,They're experts at switching positions in front of camera.,1
I like to look classy when I'm at Walmart.,"That's why when go there, I tuck my shirt into my sweatpants.",1
I like my puns like I like my sausages.,The wurst ones are the best.,1
What is a junkies favorite drink?,Hepsi,1
Why do blacks keep on getting stronger?,TVs are getting heavier.,1
What's the difference between a cranky two-year-old and a duckling?,One is a whiny toddler and the other is a tiny waddler.,1
Did you hear Bruce Jenner was in a car accident?,He was unhurt but his tranny was damaged.,1
How many blind people does it take to change a light bulb?,None if nobody's looking.,1
What did the cannibal choose as his last meal?,Five guys.,1
I broke up with my girlfriend when she told me she used to be Christian.,I only knew her as Christina and this was too much of a shock.,1
"I was attacked by 1, 3, 5, 7 and 9.",The odds were against me.,1
What do you call a gay person from Wisconsin?,A Dairy Queen,1
What's the difference between a gay man and a freezer?,Freezer doesn't fart when you pull the meat out.,1
Whats black and white and eats like a horse?,A Zebra,1
My wife complained that my life revolving around social media has destroyed the way we communicate as a family...,So I blocked her on my Facebook page.,1
I bet Americans can't wait for Halloween.,They put the 'eating' in Trick or Treating.,1
What did Sparticus do to the cannibal who ate his nagging wife?,"Nothing, he's gladiator.",1
I'm not saying that girl's a slut...,But she has touched more wieners than Heinz ketchup.,1
What do ISIS want for Christmas?,"Turkey, apparently.",1
How much room do fungi need to grow?,As mushroom as possible.,1
My girlfriend accused me of being big-headed and thinking I was better than I was.,I nearly fell off my throne.,1
What do you call the killing of Chinese baby girls?,Youth-in-Asia,1
How do you know Justin Bieber is Canadian?,Only a Canadian could get a 1 on Billboard with a song called Sorry.,1
How do sheep in Mexico say Merry Christmas?,Fleece Navidad!,1
A man has been shot with a starting pistol.,The police are pretty sure it's race related.,1
News just in: Local police have acquired 1000 bees.,They're being used in a sting operation.,1
What do you call an airplane that flies backwards?,A receding airline corny,1
What's the first sign of AIDS?,A pounding sensation in the ass.,1
Not a single person asked me how fast I can run in my new trainers today.,Being an adult is so fucking stupid.,1
Why did the feminist cross the road?,To suck my fuckin' dick!,1
Have you ever had an Ethiopian breakfast?,Neither have they.,1
My girlfriend asked me to name off all my sexual partners in order.,I should probably have stopped when I got to her name.,1
"What is long, black and dangerous to cut into?",The line at KFC,1
How many hookers does it take to screw in a light bulb?,"I don't know, but my basement's still dark",1
What happens when a tree has a one night stand?,It leaves.,1
How did Jesus get so ripped?,He does crossfit.,1
What's the difference between Santa Claus and a jew?,Santa goes down the chimney christmas jokes,1
I just found the worst page in the entire dictionary.,"What I saw was disgraceful, disgusting, dishonest, and disingenuous.",1
I always wanted to try juggling.,I just never had the balls to.,1
How do you greet a slice of bread in Germany?,Gluten tag!,1
What does a woman get every month that lasts 3-5 days?,Her husband's salary.,1
Got excited when I had to attend a class for daily sex.,Turns out it's for dyslexia.,1
The carpool lane is the TSA pre-check of rush hour.,Used to be cool tell everybody got someone to ride with.,1
"Today at the church, the lady next to me lit a cigarette and started smoking it...",I almost dropped my beer in shock.,1
What does Arnold Schwarzenegger call a colonoscopy?,A Cameron Diaz Say It Out Loud,1
What's the difference between racism and the chinese people?,Racism has many faces...,1
What did the Muslim bring to the Holiday party?,Falafel and hummus.,1
Whats the difference between a feminist and a suicide vest?,A suicide vest actually accomplishes something when triggered.,1
Did you hear about the gay midget?,He came out of the cabinet.,1
Twitter will give a blue check mark to just about any scumbag out there.,"If you don't believe me, just look at all the politicians that have them.",1
What do you call an Asian penguin?,A penguyen,1
Did you hear about the vegan transgender?,He was a herbefore.,1
What do you get when you cross an onion and a donkey?,A piece of ass that brings a tear to your eye.,1
Why are shoes always tied in the ghetto?,"Because if not, you always be trippin nigga.",1
I faked an orgasm so she wouldn't feel bad.,The female doctor doing my prostate examination was not impressed.,1
What would you find on a German fire truck?,Ladder-hosen,1
Why do black people only have nightmares?,Because we killed the only one with a dream.,1
Today I bought the new 'Divorced Barbie' for my daughter.,It came with all of Ken's accessories.,1
"As my wife gave birth all the doctors yelled, ""Push!""",I was convinced it was a Pull door.,1
What's the best part about having a blind partner?,You know they won't be seeing other people.,1
I threw a party for people who can't ejaculate.,Nobody came.,1
How do you confuse a 7 year old?,Gay,1
Why isn't Hitler in Mario Kart?,Because he cant finish a race,1
Tomorrow's Self-Harm Support Group meeting is cancelled.,Staff cuts.,1
What does a lesbian couple do for fun while they're having their periods?,Fingerpaint!,1
Did you hear about the depressed plumber?,He's been going through some shit,1
Just read a book about Stockholm syndrome.,It started off badly but by the end I really liked it.,1
Why are black people so tall?,Because they're knee grows,1
How do Vikings send secret messages?,Norse code.,1
What do you call a cute homeless girl?,Dust Bunny,1
What does an 80 year old lesbian taste like?,Depends,1
I bought the world's worst thesaurus yesterday.,"Not only is it terrible, it's terrible.",1
Sorry seems to be the hardest word to say...,"Unless you're Chinese, then it's ""squirrel"".",1
My toothpaste says it guarantees whiteness within two weeks..,Yet after two weeks I'm still asian,1
How do you make Helen Keller cry?,Turn the stool upside-down,1
I misplaced Dwayne Johnson's cutting tool for the origami workshop...,I can't believe I lost the Rock's Paper Scissors.,1
The pulley is the most egotistical of all machines.,It's always the centre of a tension.,1
What do you call a vehicle with no fuel in Africa?,Outtagascar corny,1
Don't compare whales to feminists...,It's very offensive to whales,1
Want some juicy Hollywood gossip?,"After three drinks, I sometimes mispronounce 'Charlize Theron.'",1
What did the green grape say to the purple grape.,"Breathe idiot, breathe.",1
What washes up on tiny beaches?,Microwaves.,1
What's the difference between being hungry and being horny?,Where you put the cucumber.,1
Why did God make farts smell?,So that deaf people could enjoy them too.,1
A shipment of Viagra was hijacked on its way to the depot.,The police are warning citizens to be on the look out for a gang of hardened criminals.,1
Have you heard about the guy whose whole left side got shaved by a train?,I heard he is all right now ROFL,1
What did the blonde say when she saw a banana peel?,aw shit imma fall again,1
I'm trying to figure out which iPhone to buy.,"The black one runs faster, but the white one actually works.",1
Some people have no empathy at all.,I'm not even gonna try to understand what it's like to be that kind of person.,1
What do women and modern computers have in common?,Neither one will accept a 3 and a half inch floppy,1
I just saw a real idiot at the gym.,He put a water bottle in the Pringles holder on the treadmill.,1
What is an electricians favorite type of news?,Current events.,1
Dora the Explorer has got a little Muslim friend called Doda.,The Exploder.,1
"Scientists have recreated the face of a teenage girl from 9,000 years ago.",Careful analysis shows she died of embarrassment over something her mom did.,1
What do you call a french lesbian?,A tresbien,1
I just found out that my new electric toothbrush is not waterproof.,I was shocked.,1
How are a grenade and a girlfriend similar?,"If they're good ones, they'll both blow really well.",1
What did the Hobbit say to the Japanese man as he was leaving?,Shirenara!,1
Being the funniest person on Facebook is like being the fastest runner at the paralympics.,"You win, but you're still retarded.",1
What do black people and Batman have in common?,Neither one of them get dadjokes,1
What do Japan and Shaq have in common?,Kobe Beef,1
Where do beekeepers stay on vacation?,Air bee and bee.,1
What do the Egyptians call a man who cannot keep his opinions to himself?,IMHOtep,1
I met a girl who said she liked Imagine Dragons.,I asked her if she could Imagine Dragon these nuts across her chin.,1
I asked my friend if he knows any ways for me to get rid of my blackheads.,He said the best solution is Apartheid.,1
Why did the non-binary prospector move to California in 1849?,Because there was gold in them/their hills.,1
Reverse cowgirl is set to be outlawed in Alabama.,Cause you don't turn your back on family.,1
A falcon goes into a restaurant and runs into his ex-girlfriend thats on a date.,"The falcon says ""well, this is Hawk-ward""",1
What does a gay man and a rhubarb have in common?,It's not right to call them a fruit.,1
Did you hear about the limo driver who was in business for 25 years without a single customer?,All that time and nothing to chauffeur it.,1
What musical group is Jesus most afraid of?,Nine Inch Nails,1
I was going to visit Bangkok... but then I said Phuket.,ROFL,1
I used to be in a band called 'Missing Cat'.,You've probably seen our posters.,1
What do you call a barn full of black people?,A police shooting range.,1
A Frenchman walks into a library and asks for a book on warfare.,The librarian tells him he'll only lose it.,1
Why is it bad to mix Islam and Hinduism?,Because you might get Sikh,1
I was in a band during the 80s called The Prevention.,We were better than the Cure.,1
How does NASA organize a party?,They planet.,1
My girlfriend wanted a marriage just like a fairy tale...,I gave her some bread crumbs and left her in the forest.,1
The Wizard of Oz is the ultimate chick flick...,It's two chicks fighting over a pair of shoes.,1
My dad told me to make little things count?,So now I'm teaching maths to dwarfs.,1
Today is Earth Day.,Be good to the environment today by recycling a bunch of old jokes.,1
So a man is alone in a forest And if his wife isn't around to hear him.,Is he still wrong?,1
Did you hear about the Asian kid who had that one night stand?,He had too many books to fit on it,1
I'm done being a people pleaser.,If everyone's ok with that.,1
What do you call a caring prostitute?,Someone who gives a fuck,1
Where are dead computer hackers buried?,In decrypt.,1
What do you call a 60-year old whose puberty just started?,A late boomer.,1
Did u hear about the leper poker game?,everyone threw their hands in,1
What do you get if you put a duck in a cement mixer?,Quacks in the pavement.,1
Women are like bowling balls...,They're either too heavy or you can't put your fingers in them.,1
What did the french chef give his wife on Valentine's day?,A hug and a little quiche.,1
Why is there cotton on top of the pills inside a pill bottle?,To remind black people they picked cotton before they sold drugs.,1
Why do midgets laugh when they run?,Because the grass tickles their balls,1
What did Tennessee.,The same thing Arkansas.,1
"According to Nintendo, Wario is not Mario's evil twin.",They were actually childhood friends until Wario became jealous of Mario's good looks and advanced plumbing skills.,1
What do you call a ghost's boobies?,Paranormal entitties.,1
Last night I dreamt I was a muffler...,It was exhausting.,1
What do you call a gay fly?,a maggot,1
How does a black woman fight crime?,By having an abortion,1
My Muslim wife left me the other day.,I guess she didn't know what Jihad.,1
My girlfriend wants me to choose between her and my career as a reporter.,I have some breaking news for her.,1
The guy who stole my diary just died.,My thoughts are with his family.,1
How many male chauvinist does it take to change a lightbulb?,"None, the wife can cook fine in the dark",1
What do you call a black Canadian?,Just 'Canadian'.,1
What do you get from 3 girls from Arkansas?,Damn near a whole set of teeth.,1
Last weekend my dad caught me smoking a cigarette and for punishment made me smoke until I puked.,This weekend I made sure he caught me in bed with my girlfriend.,1
Just because I'm Irish doesn't mean I am always drunk.,It means I always want to be.,1
My wife has threatened to leave me because of my obsession with horoscopes.,It's taurus apart.,1
I really want to buy one of those grocery checkout dividers.,But the lady behind the counter keeps putting it back.,1
Who has fistfights in person?,Fight online in the comment section like a normal person.,1
What did the lesbian vampire say to the other lesbian vampire?,Same time next month?,1
A far right party wins an election in Germany with 60% of the vote.,I did nazi that coming,1
Why was the broom late for the meeting?,It overswept.,1
What's the difference between boy scouts and Jews?,Boy scouts always come back from camp!,1
Black Friday?,Isn't that the day when you can buy slaves at a discount?,1
"An atheist, a Muslim, and a Born-again Christian are seated together on a plane.",They have a pleasant flight because they're not assholes.,1
"If Muslim women insist on dressing like ninjas, they should also act like them.",And disappear.,1
Rolled my first joint last night.,"Fuck, my ankle hurts this morning",1
What do you call an Ethiopian with a dog?,Stupid.,1
What Do You Call A Bad Mexican Restaurant?,Shitpotle,1
I just broke up with my blind girlfriend.,We just didn't see eye to eye anymore.,1
Why is Barbie not pregnant?,Because Ken came in a different box.,1
"What do you call a dog, that can perform magic?",Labracadabrador.,1
ME IN PUBLIC: I don't believe in ghosts.,ME WHEN I'M ALONE AND HEAR ANY CREAK IN THE HOUSE: Pappy?,1
79% of accidents happen at home.,"Finally, good news for the homeless.",1
I've just downloaded the Asian date rape app to my new phone.,Or Uber as it's more commonly known.,1
I have a friend who everyone knows is gay but he won't admit it.,He'll swallow everything but his pride.,1
I got fired when I asked a customer if he preferred smoking or non smoking.,"Apparently, the correct terms are 'cremation' and 'burial'.",1
Did you hear about the Leper going for the masturbation world record?,Eventually he pulled it off!,1
I told my psychiatrist I felt like a dog.,He told me to get off the couch.,1
Why did the lion cross the road?,To stop the zebra crossing.,1
I went to a restaurant last night and I noticed that my waitress had a black eye.,So I made sure I spoke loud and clear when ordering my food because she obviously has trouble listening.,1
Why doesn't Superman need a boss?,He already has supervision.,1
What did the nurse who knocked on the pregnant lady's door say?,Womb Service!,1
How do you navigate holidays like father's day in queer relationships where the bio dad isn't involved?,Auntie Red Tweet Tea,1
What happens if you don't pay your exorcist?,You get repossessed.,1
Heavy rains kill 73 in Pakistan.,I guess even God couldn't stand the smell any longer.,1
I can't decide on a satanic card game to play.,"Oh well, better the devil Uno.",1
"The year is 2125, we are touring the american ruins.",The zombies are too fat to be of any immediate threat.,1
What do you call a witch who lives in the desert?,A sand witch.,1
When you die what body part dies last?,The pupils - they dilate,1
